rgb,cmyk,url,dark,ral,nameDE,nameEN,range
E0E1DF,0 0 0 11,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-000-90-00/7058,1,000 90 00,Winterweiß,Winter white,Weiß- und Off-White-Töne
EBDEDC,0 5 6 7,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-010-90-05/7111,1,010 90 05,Rosécreme,Rose cream,Weiß- und Off-White-Töne
EDE3E5,0 4 3 7,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-010-93-05/7113,1,010 93 05,Weißrötlich,White-red,Weiß- und Off-White-Töne
ECE1DC,0 4 6 7,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-020-90-05/7152,1,020 90 05,Muschelweiß,Mussel white,Weiß- und Off-White-Töne
EDDBD7,0 7 9 7,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-020-90-10/7153,1,020 90 10,Pfirsichcreme,Peach cream,Weiß- und Off-White-Töne
F1E4E1,0 5 6 5,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-020-93-05/7154,1,020 93 05,Blütenweiß,Blossom white,Weiß- und Off-White-Töne
EADEDA,0 5 6 8,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-030-90-05/7186,1,030 90 05,Antikweiß,Antique white,Weiß- und Off-White-Töne
F0DDD6,0 7 10 5,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-030-90-10/7187,1,030 90 10,Hochzeitsrosa,Wedding pink,Weiß- und Off-White-Töne
F4E8E4,0 4 6 4,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-030-93-05/7188,1,030 93 05,Pergamentweiß,Parchment white,Weiß- und Off-White-Töne
ECE0D9,0 5 8 7,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-040-90-05/7231,1,040 90 05,Saharalichtrot,Sahara light red,Weiß- und Off-White-Töne
F2E8E1,0 4 7 5,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-040-93-05/7233,1,040 93 05,Naturweiß,Natural white,Weiß- und Off-White-Töne
DDD1C9,0 5 9 13,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-050-85-05/7270,1,050 85 05,Meersand,Ocean sand,Weiß- und Off-White-Töne
E9DED5,0 4 8 8,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-050-90-05/7273,1,050 90 05,Eierschalenweiß,Eggshell white,Weiß- und Off-White-Töne
F3EAE2,0 3 6 4,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-050-93-05/7275,1,050 93 05,Tüllweiß,Tulle white,Weiß- und Off-White-Töne
EBE2D7,0 3 8 7,https://www.ral-farben.de/farbe/ral-design-system-plus/ral-060-90-05/7320,1,060 90 05,Kornweiß,Grain white,Weiß- und Off-White-Töne
